Acknowledgement ID,USER_ID,COURSE_ID,ENROLMENT_ACTIVITY_ID,Acknowledgement Title,Acknowledgement Text,Acknowledgement Introduction,Acknowledgement Created Date,Acknowledgement Modified Date,Acknowledgement Checked Date,CLIENT_NAME,CLIENT_REGION
27,104,955,3584,Code of Conduct,I have been provided with and have read the Environment Canterbury Code of Conduct.,"This Code of Conduct has been developed to guide you through the standards and behaviours that are expected of our staff and contractors. It sets out our expectations based on four key principles; that you are fair, impartial, responsible and trustworthy. There is an expectation that you will adhere to these standards alongside those set out in your employment agreement and our corporate policies. Click the blue text above to view the code of conduct and to acknowledge that you agree adhere by it.
",2017-07-20 00:30:23+00:00,2017-09-07 22:48:40+00:00,2017-09-20 20:52:51+00:00,ecan,SYD
99,405,1006,23089,Puna Kōrero Treasure Hunt,I confirm I have read and completed these tasks.,Click 'View' below to complete this Month One task.,2019-05-05 07:16:34+00:00,2023-11-07 06:37:37+00:00,2019-06-19 23:31:10+00:00,ecan,SYD
5,33919,6,1279083,Wilson Security Induction - Acknowledgement,"I understand that all incidents must be reported, as soon as possible, through my reporting chain",Seeks acknowledgement that the staff member understands the information within the induction.,2014-03-14 04:42:00+00:00,1970-01-01 00:00:00+00:00,2018-06-16 11:11:54+00:00,wilson,SYD
1987,34107,934,172956,HSP Policy 6.15c Code of Conduct For Patients & Visitors,I agree,"
HSP Policy 6.15c Code of Conduct For Patients & Visitors
I have read and acknowledge it is my responsibility to abide by the information in this document.
",2015-10-11 09:38:58+00:00,2015-10-11 09:38:58+00:00,2017-06-28 01:10:02+00:00,healthscope,SYD
35,1146,154,20054,Client Incident Management Procedure,I have read and understood the Client Incident Management Procedure,"You are required to read and understand this Poilcy. If you need assistance with understanding this policy, arrange a time to discuss it with your manager. ",2020-08-11 02:04:21+00:00,2020-08-11 02:57:42+00:00,2020-09-16 13:13:48+00:00,m180,SYD
30,136,31,1641,Sponsorship Policy,I acknowledge that I have read and understood the Sponsorship Policy,Sponsorship Policy ,2024-10-22 06:23:26+00:00,2024-10-22 06:23:26+00:00,2024-11-06 03:10:24+00:00,enel,SYD
860,3736,498,25380,Healthscope - Patient Falls & Prevention Management SDLP,I agree,"Healthscope - Patient Falls & Prevention Management SDLP
I have read and acknowledge it is my responsibility to abide by the information in this document.
",2015-10-11 09:26:42+00:00,2016-05-30 07:10:04+00:00,2016-03-28 15:38:57+00:00,healthscope,SYD
83,77461,2065,754299,Our Purpose & Values Acknowledgement,I will work together with my colleagues,Please acknowledge your commitment to Our Purpose & Values.,2019-11-18 05:09:06+00:00,2019-12-09 00:58:25+00:00,2021-03-10 05:23:12+00:00,crownlearn,SYD
376,1364,1363,2104883,Leadership Excellence Part 1 Wrap Up Activities and Checklist,Reviewed 360 - and created a Development Plan,"Part 1 Wrap up Activities and Checklist 
In readiness for Part 2 of 2023 Just Brilliant Leadership Excellence Program",2023-02-06 04:51:52+00:00,2023-02-08 21:57:45+00:00,2023-09-04 02:41:39+00:00,ndia,GOV
35,3891,83,51004,IVMS - Driver Responsibility Statement,"I acknowledge that by signing this document, I am aware of the IVMS systems being used and that the tampering of any of this equipment is considered a serious safety breach.",Overview of Centurion's In-Vehicle Monitoring Systems (IVMS).,2022-06-10 02:54:45+00:00,2022-06-10 02:54:45+00:00,2023-04-01 01:28:32+00:00,centurion,SYD
