Job Role ID,Job Role Title,Job Role Description,Job Role Identifier,Job Role Skills and Experience,Job Role Created Date,Job Role Modified Date,CLIENT_NAME,CLIENT_REGION
91,Personal Care Worker,"The Personal Care Worker at Company Name plays a crucial role in supporting individuals with their daily living activities, ensuring their comfort, dignity, and overall wellbeing. This position requires compassion, patience, and a strong commitment to enhancing the quality of life for those in care.Key responsibilities include:Assisting clients with personal hygiene tasks such as bathing, grooming, and dressing.Providing support with mobility and physical activities to promote independence.Administering medication as directed by healthcare professionals and monitoring clients' health conditions.Preparing and serving nutritious meals according to dietary requirements.Engaging clients in social activities to foster companionship and mental stimulation.Maintaining a clean and safe living environment by performing light housekeeping duties.Documenting client progress and reporting any changes in behaviour or health to the appropriate supervisor or healthcare provider.The ideal candidate will demonstrate strong communication skills, empathy, and the ability to work effectively within a team. Flexibility is essential as shifts may vary depending on client needs.",PCW1,Required skillsCompassionate and empathetic nature towards clientsStrong communication and interpersonal skillsAbility to follow care plans and instructions accuratelyBasic knowledge of personal care techniques and hygiene practicesGood organisational skills with the ability to manage time effectivelyPhysical stamina to assist clients with mobility and daily activitiesProblem-solving skills to address client needs promptlyRequired experiencesPrevious experience in a caregiving or personal care role preferredExperience working with elderly or disabled individuals is advantageousA valid first aid and CPR certification is desirableFamiliarity with health and safety regulations in a care environmentExperience in maintaining confidentiality and respecting client privacy,2025-08-15 00:27:43+00:00,2026-03-16 22:23:25+00:00,golddemosite3,SYD
107,Supervisor Fencing,"The Supervisor Fencing at Mornington Shire Council plays a crucial role in overseeing fencing projects and ensuring high-quality outcomes that meet community standards. This position requires effective leadership, organisation, and communication skills to manage both projects and personnel efficiently. **Key Responsibilities:** The Supervisor Fencing will be responsible for:Leading a team of fencing workers, providing guidance and support to ensure efficient workflow.Planning and coordinating fencing projects from conception to completion, including budgeting and resource allocation.Conducting site assessments to determine project requirements and ensure compliance with safety regulations.Overseeing the installation, repair, and maintenance of various types of fencing structures within the council area.Maintaining accurate records of project progress, materials used, and time spent on tasks.Developing work schedules and assigning tasks to team members based on their skills and experience.Collaborating with other departments or contractors as necessary to achieve project objectives.Monitoring quality control throughout the fencing processes to uphold safety standards and craftsmanship.Providing training and mentoring to team members in best practices related to fencing techniques and safety protocols.Addressing any issues or conflicts that arise during the execution of projects promptly and professionally.In summary, the Supervisor Fencing is essential in ensuring that all fencing operations are conducted safely, efficiently, and effectively while contributing positively to the overall beautification and functionality of community spaces.",Supervisor Fencing-Stream A-Level 3,"Required skillsStrong leadership and supervisory skillsExcellent communication and interpersonal abilitiesProficient in project management techniquesKnowledge of fencing materials and construction methodsAbility to read and interpret technical drawings and plansProblem-solving skills with a focus on efficiencyStrong organisational and time management skillsSafety management awareness and compliance knowledgeRequired experiencesPrevious experience in a supervisory role within the fencing or construction industryA proven track record of successfully managing projects from inception to completionExperience in training and mentoring team membersHands-on experience with various fencing types (e.g., timber, metal, vinyl)A minimum of 3 years of relevant field experience in fence installation or maintenanceExperience with health, safety, and environmental regulations related to construction workFamiliarity with budgeting and resource allocation for projects",2025-05-13 22:05:37+00:00,2026-07-01 23:51:23+00:00,mornington,SYD
22,Production Supervisor,"1. ORGANISATIONAL PURPOSESecondBite is a leading Australian food rescue organisation dedicated to reducing food insecurity in Australia. Through both SecondBite and FareShare brands, we have a vision for an Australia without food insecurity.SecondBite’s purpose is to partner with communities to provide healthy food and nutritious cooked meals – caring for people and planet.As part of the SecondBite organisation, FareShare operates Australia’s largest non-profit kitchens in Melbourne and Brisbane, where chefs, cooks and volunteers transform this rescued and donated food, as well as produce grown on their own kitchen gardens, into millions of delicious, nutritious meals each year for people experiencing need.We are an equal opportunity employer and embrace diversity in the workplace. Our values are Integrity, Innovation, Collaboration and Respect.2. POSITION PURPOSEThe Production Supervisor is the operational leader responsible for delivering safe, efficient, and high-quality production during their rostered shift at SecondBite’s FareShare Kitchen at either Abbotsford or Morningside. This role ensures that production plans are executed, workflows run smoothly, and staff and volunteers are supported to perform at their best.3. KEY RESPONSIBILITIES3.1 Production Operations, Scheduling & Workflow (50%)· Lead daily production activities to ensure safe, efficient, and high-quality meal output. · Execute production schedules and adjust workflow as needed. · In collaboration with the Executive Chef and Head of Production, coordinate batch cooking, ingredient preparation, and WIP usage. · Ensure production aligns with IBP forecasts, Executive Chef recipes and ingredient availability. · Maintain organised and efficient production areas3.2 Team Leadership, Training & Culture (30%)· Supervise and support Production Chefs, Production Assistants, and volunteers. · Ensure all staff and volunteers are communicated with clearly so that they understand and can safely carry out their allocated tasks for the shift· Provide coaching and on-the-job training. · Foster a positive, inclusive, team-first culture. · Lead daily briefings and communication updates.· Act as the first point of call for questions or concerns from staff and volunteers· Promote the FareShare kitchen’s contribution to SecondBite’s vision of reducing food insecurity in Australia· Work closely with Inventory and Warehouse teams to ensure ingredient readiness. · Collaborate with the community and corporate volunteering teams· Act as an Ambassador for SecondBite visitors when in the Production Kitchen· Communicate risks, delays, or shortages promptly. · Support cold-chain integrity and WIP staging.3.3 Risk and Safety Management (20%)· Model a safety-first culture and behaviour· Work with the Head of Production and Executive Chef to ensure site specific safety plan and improvements are identified and actions implemented and imbedded into the culture· Report and remedy any near miss/activity that has the potential to damage the reputation of SecondBite or its partners, and/or lead to legal issues· Demonstrate commitment to safety by performing duties in accordance with relevant legislation and SecondBite policies, procedures and practices· Report hazards and safety concerns in Safety Culture and advise Head of Production · Report equipment faults promptly· Ensure equipment is cleaned and stored correctly.· Support scheduled maintenance activities.· Ensure all production activities comply with HACCP, OH&S, GMP and food safety requirements. · Conduct and verify temperature checks and sanitation tasks. · Complete and validate food safety documentation.  ",Production Supervisor | FBT Above Award,"4. POSITION COMPETENCIES4.1 Qualifications, Skill and Experience· Extensive experience in commercial and large-scale kitchen or food production environments· Demonstrated knowledge and application of HACCP systems and food safety standards· Strong workflow management skills with the ability to plan, coordinate, and optimise kitchen operations· Proven leadership capability with experience guiding, supporting, and motivating team members· Excellent communication skills across operational teams and management· Strong problem-solving ability with a practical and solutions-focused approach· Ability to work effectively within diverse, cross-functional team environments· Highly developed organisational skills with the ability to manage competing priorities and deadlines4.2 Personal Attributes· Articulate and clear communication· Calm and confident in both behaviour and decision-making· Solutions-focused when addressing challenges and achieving outcomes· Strongly committed to safety and quality across all areas of work· Collaborative in approach, fostering positive team relationships· Adaptable when responding to changing priorities and environments· Passionate about community impact and purpose-driven outcomesSome local travel may be required.Pre-Approved additional hours paid or may be taken as time in lieu.",2026-04-28 02:17:57+00:00,2026-06-17 23:35:25+00:00,secondbite,SYD
38,Administration Coordinator,"Plan and coordinate administrative procedures and systems and devise ways to streamline processes

Recruit and train personnel and allocate responsibilities and office space

Assess staff performance and provide coaching and guidance to ensure maximum efficiency

Ensure the smooth and adequate flow of information within the company to facilitate other business operations",AM2,"High school certificate or equivalent; associate's or bachelor's degree in business administration or a related field may be preferred.
Experience in office administration or related field.
Strong organizational and time management skills.
Proficiency in Microsoft Office and other relevant software applications.
Excellent written and verbal communication skills.
Attention to detail and accuracy in record-keeping.
Ability to multitask and prioritize tasks effectively.
Familiarity with general office procedures and equipment.
Strong problem-solving and critical thinking skills.
Ability to work independently and as part of a team.",2025-01-21 04:35:45+00:00,2025-01-21 04:35:45+00:00,csmgold9,SYD
14,Customer Services Officer,"The Customer Service Officer is responsible for supporting the General Manager Sales & Optimisation in building meaningful and enduring relationships with our customers to maximise the long-term value for Miraka.Key Result Area Duties and Responsibilities Expected OutcomesCustomersManage enquiries from new and existing customers and ensure timely response.Build and maintain strong relationships with our customers.Maintain CRM system.Enter and maintain customer details on ERP system.Take receipt of and manage internal/external comms relating to customer complaints ensuring timely response and reporting.Assist with the arrangement of customer visits.Manage time and organise own workload against performance expectations.Ensure all administrative compliance requirements, data entry and an efficient customer engagement journey are met.New Customer Account applications & credit checks.Monthly customer statements. Customer satisfaction.Sales & OptimisationAssist with compiling and reporting on market research and insights.Assist the Sales & Optimisation Team in any other data entry as required.Review and maintain standard operating procedures relevant to this role.Sales & Optimisation efficiency.  Environment Health, Safety, Risk Management & ComplianceParticipate and support the health, safety, and risk management plans to ensure OSH compliance and minimise the Company’s exposure in all ways.Provides and maintains a healthy and safe work environment. OSH and environmental management plans are implemented and managed.The manufacturing plants are a safe and healthy work. Relationship ManagementTakes responsibility for developing effective working relationships and liaison with all Head Office team members to ensure a highly motivated, supportive, and nurturing culture is adopted.Participate and support in the development of a committed culture of success and nurturing the growth and development of its people and resources.Effective working relationships exist with all site team members. Company ValuesUnderstand and act in accordance with the Miraka values.The Miraka values are understood, respected and the required outcomes are achievedOther  Carry out any other responsibilities as may be reasonably required and requested from time to time in the interests of Miraka. Miraka’s best interests are served at all times.",Customer Services Officer,"Qualifications and Technical Skills School certificate, 6th Form certificate or equivalent.Advance excel and Microsoft office essential.Knowledge of Navision or equivalent ERP system is preferred. Experience and knowledge required for effective performance in the position Customer focused with excellent communication skills.Have meticulous attention to detail.Are self-motivated and work autonomously. Are well organised and have good timekeeping. Have clear and accurate communication. Are a computer whizz, particularly advanced in Microsoft Office (i.e., Excel and Word). Are an adaptable, flexible, and supportive team player.Can build and maintain strong relationships with staff and key stakeholders.Have values which resonate with the Miraka values and are willing to contribute to the wider Miraka team and embrace our unique culture and points of difference.Experience working with Māori Trusts, Incorporations, and organisation’sDemonstrated understanding of Māori protocols and values.",2025-05-07 02:08:33+00:00,2026-01-16 03:12:08+00:00,miraka,SYD
49,Project Coordinator,"The Project Coordinator supports the planning, coordination, and delivery of civil construction projects to ensure works are completed safely, on time, within budget, and to specification. The role assists with engineering, scheduling, procurement, and quality management activities, providing essential support to the Project Manager and project team to ensure compliance, efficiency, and continual improvement throughout the project lifecycle. The Project Coordinator is authorised to coordinate day-to-day site and project activities, liaise with subcontractors and suppliers, and manage documentation and reporting in line with company policies and procedures.",PRC001,"Experience in civil construction project coordination or engineering supportStrong understanding of QA systems, documentation and complianceAbility to manage multiple priorities in a fast-paced environmentStrong organisational and communication skillsProactive approach to problem solving and risk managementRelevant qualification in Civil Engineering or Construction (desirable)",2026-05-01 01:36:19+00:00,2026-05-01 01:36:19+00:00,pentacon,SYD
71,Associate to the DPP,Executive Services,Associate to the DPP,,2025-10-28 23:03:54+00:00,2025-10-28 23:03:54+00:00,opp,GOV
59,Financial Capability Worker - Coober Pedy,"The Financial Capability Worker is responsible for the delivery of financial literacy education, information and coaching and to maintain a strong focus on supporting consumers to change their behaviour and ‘learn by doing’. This includes basic financial literacy education and support either individually or in group settings.",FCW-CP,"Experience in assisting families and individuals in the resolution of financial issues at various levels including crisis intervention 
 Knowledge of the impact and issues related to financial crisis and associated behaviours in rural and remote locations 
 An awareness of relevant legislation 
 An awareness of hardship provisions and how to negotiate accessing them with clients 
 An understanding of case plans and facilitating a positive approach in working with families, individuals and groups to achieve these goals 
 Experience in working in a highly confidential  manner 
 A commitment to providing financial literacy and community education 
 Demonstrated ability to identify an issue and seek creative solutions 
 Effective communication skills (verbal and written), interpersonal skills and time management skills  
 High level of ability in the use of Microsoft Office and Information Technology",2026-05-25 01:00:51+00:00,2026-06-12 06:47:54+00:00,cccsa,SYD
103,Administration Officer - Whyalla,The Administration Officer is responsible for the delivery of effective administration services.,AO-W,"Experience working in an administration environment 
 Prior experience in providing a customer/client service 
 Sound knowledge and exposure to administrative systems 
 Well-developed communication skills (verbal and written) 
 Excellent organisational and time management skills, with the ability to manage conflicting priorities and meet deadlines 
 Demonstrated ability to work in a highly confidential manner 
 Demonstrated ability to work independently and in a collaborative manner 
 High level of ability in the use of Microsoft Office and Information Technology",2026-05-25 01:00:53+00:00,2026-06-12 04:26:24+00:00,cccsa,SYD
40,Administration Assistant,"About YouturnYouturn is a not-for-profit organisation established more than 30 years ago to address youth homelessness on the Sunshine Coast. Today it has evolved into a national organisation with a multidisciplinary team of professionals. Trusted to create safe, inclusive, and supportive communities, Youturn offers assistance to vulnerable people of all ages, during their most challenging times. At Youturn, our overarching goal is to make a lasting impact in the lives of those we serve. Through our dedicated efforts and partnerships, we aspire to build a society where everyone has the opportunity to lead a fulfilling and dignified life. Values Statement Supporting young and vulnerable people in their time of need, is at the heart of what we do at Youturn. Our organisational culture is built on trusting relationships that are meaningful and inclusive. We listen to understand, we embrace diversity and we offer a safe space free from judgement. To ensure our young and vulnerable people receive individualised support, we invest in team members who embody our values to foster a collaborative culture of excellence. The Administrative Officer role at Youturn is pivotal in providing comprehensive support across all operational aspects of the organisation. The incumbent will handle reception, secretarial, administrative (including MBS billing), communication, and organisational tasks in a youth-friendly environment.The primary goal is to offer reception and administrative assistance to all members of the centre, ensuring a high standard of care for young individuals and their families and friends. This position is vital to maintaining a professional and confidential atmosphere while supporting effective service delivery and day-to-day operations. The Administrator is crucial for ensuring that the service is perceived as accessible, welcoming and youth-friendly.Key Responsibilities Administration Perform various administrative tasks as required, including reception duties, telephone management, calendar maintenance, appointment management, database management, scanning, filing, and correspondence management. Provide general administration support including resource preparation, shopping, postage, mail in and out, and other general office administrative duties as required.  Administrative tasks associated with meetings including directed secretarial duties, scheduling, planning and preparation.  Administrative tasks as directed by the Line Manager to support the team with specific priorities including general daily housekeeping activities, facilities management including maintaining office/kitchen supplies, ensuring facilities are cleaned and well-equipped and organising regular and timely maintenance and repairs.  Provide administrative support for committees and sub-committees, including meeting preparation, minute-taking and post-meeting follow-up. Assist with the establishment and maintenance of office systems such as file management and cataloguing of resources and stationery. Organise bookings of meeting rooms, including arrangement of catering, equipment hire, key deposit and cleaning.  Manage office systems, file and brand management, and promotional materials. Ensure confidentiality of young people and Headspace information. Handle reception duties such as patient billing, medical history requests and appointment management. Ensure timely reminders for Mental Health Care Plans and Reviews. Perform other duties as directed that are within the limits of the employee’s skills, competence and training and the scope of the employee’s award classification.  General Duties Promote the program, communicate regularly with and build and maintain collaborative working relationships with program partners and all relevant stakeholders in the program. Maintain an open-minded and flexible approach to the work whilst maintaining the best practice principles contained within the Code of Conduct, policies and procedures of Youturn. Contribute to a positive representation of Youturn through supportive and positive working relationships with staff, young people, their families/carers/kin, stakeholders and the wider community. Participate in service staff meetings and professional development with the relevant Line Manager and other staff as appropriate. Participate in appropriate education to develop and maintain necessary knowledge and skills required to fulfil the responsibilities of the position. As an employee, work in a healthy and safe manner and encourage others to do the same; comply with all warning and safety signage; report or rectify any unsafe conditions; adhere to workplace health and safety policies and procedures. Perform other reasonable duties as directed, that are within the employee’s skill, competence, training and scope of the employee’s award classification. From time to time, Youturn may require you to work in areas that are not your normal work areas and perform functions that are outside of your usual duties.  Youturn may require you to do this so long as you have the skills and training to perform the functions that are outside of your normal work areas or usual duties.   ",Administration Assistant,"Essential Experience, Qualifications & Other RequirementsEssentialTertiary qualifications and/or a minimum of 3 years' relevant experience in Office Administration/Reception in a medium-sized organisation, ideally in the Social Support environment or Medical Reception. Sound written and oral communication, interpersonal and customer service skills and the capacity to deal confidently and courteously with people at all levels. Strong organisational skills, the ability to successfully complete several tasks concurrently, maintain high levels of attention to detail, maintain documentation and record keeping, and meet deadlines. Current ‘C’ class Open Driver’s License. Knowledge and/or experience of MBS system and processes for patient billing or the ability to rapidly acquire relevant skills. Hold a current Working With Children Check (WWCC) issued by the relevant State or Territory. Example, Blue Card. Hold or be eligible to apply for, a Licensed Care Suitability Check issued by the Department of Child Safety, Youth Justice, and Multicultural Affairs. Desirable Certificate in a relevant discipline (Certificate IV Health Administration/Business Support) and/or substantial experience working in medical administration in a general practice or health sector. Selection Criteria Experience in an administration role with demonstrated understanding of the challenges, importance and issues of working in a dynamic environment. Demonstrated ability to work as part of a team, taking professional approach, acting in the best interest of Youturn and its clients, and being able to demonstrate Youturn Values.  Ability to tactfully respond to crisis situations and to handle information with confidentiality. Experience working with young people in a youth-friendly manner. Innovative problem-solving skills and ability to adapt to change. Understanding of the health and well-being of young people aged 12-25, particularly regarding mental health and substance use issues. Well developed proficiency, knowledge and experience in Microsoft Word, Excel, Outlook and PowerPoint.  Strong organisational skills and attention to detail, with a demonstrated ability to manage competing workloads and rapidly changing priorities, including management and the ability to multi-task; prioritise, meet deadlines, and see tasks through to completion and on time.  Excellent interpersonal, written, and oral communication skills, in particular the ability to communicate with a broad cross section of people with a focus on communication with young people. Ability to work autonomously and as part of a team, with a willingness to take direction when given. Ability to adapt to a changing work environment. Experience in minute-taking or the ability to quickly acquire this skill. ",2025-04-04 01:31:48+00:00,2025-09-01 02:22:28+00:00,youturn,SYD
75,Graphic Designer & Content Writer,"  Graphic Design & Content Writer Position Description Reports to: Marketing & Brand Team Leader Region: Lonsdale, SA POSITION STATEMENT:Grow the value of each piece of marketing we do with innovative graphic design and crisp, compelling text that sells the value of our products. The graphic design portfolio will include a combination of digital, print and promotional advertising to support our marketing strategy. Written content will be both project specific, with articles, blogs and case studies along with background writing to enable other content producers to accurately express our value proposition. KEY PERFORMANCE INDICATORS:High quality, innovative content, focused on value proposition, 1st timeOntime completion of tasks to meet our marketing planAdherence to company processes and procedures PRIMARY ROLES & RESPONSIBILITIES:Associated duties include, but are not limited to:Graphic design of printed materials including product guides, price list,  brochures, flyers, in store merchandise and other formats as required to support the execution of our marketing plan. Graphic design of promotional material that may include billboards, buses ads, promo give away items, tradeshow assets and other advertising.Graphic design of digital materials including web content, social media, and digital advertisingPlan & write content to support our marketing plan including articles, blogs, case studies, web & social media contentDevelop written value propositions for our key products and educational topics to allow content producers to include content in their projects as neededWrite & design presentations for BDM’s and ASM’s to present to all content channelsAny other tasks as directed by the Marketing & Brand Team Leader SKILLS & EXPERIENCE:A degree, or formal training in graphic designMinimum 2 years working in a marketing related graphic design role for a retail product portfolioExperience with copywriting for marketing materialsA high level of attention to detail to get marketing deliverables right first timeA team player, always keen to collaborate with colleagues to get the best result for the businessStrong computer literacy and familiar with Adobe suite, Google drive, Netsuite and cloud services A strong work ethic and an ability to work effectively under pressure to ensure that deadlines are metThe ability to be approachable, flexible and adapt to change with a can do attitude COMPLIANCE EXPECTATIONS:Honesty, Integrity, Loyalty and ConfidentialityRespect Puretec’s Core Values, Code of Conduct and uphold the Mission and Vision StatementCompliance with applicable or relevant legislation ",Graphic Designer & Content Writer,"SKILLS & EXPERIENCE:A degree, or formal training in graphic designMinimum 2 years working in a marketing related graphic design role for a retail product portfolioExperience with copywriting for marketing materialsA high level of attention to detail to get marketing deliverables right first timeA team player, always keen to collaborate with colleagues to get the best result for the businessStrong computer literacy and familiar with Adobe suite, Google drive, Netsuite and cloud services A strong work ethic and an ability to work effectively under pressure to ensure that deadlines are metThe ability to be approachable, flexible and adapt to change with a can do attitude",2025-11-24 23:22:35+00:00,2026-04-21 04:51:48+00:00,puretecgroup,SYD
104,Assistant Manager - Whyalla and Central Eyre Peninsula,"The Assistant Manager is responsible for providing: 
 Support to the Regional Manager with the general running of the regional office
 Operational line management according to the specific needs of the location and the programs delivered in that location 
 Maintaining a client case management component and/or deliver community education programs (where client services delivery forms part of the role)
 Provide regional program compliance across a specified program, or programs (as required)
Provide professional technical leadership/supervision to regional staff (when necessary)",AM-W,"A degree or diploma in a human service and/or management related area
 Previous leadership experience, with ability to delegate and assign tasks
 Experience in providing client case management
 Effective team management, including staff coaching and development skills
 Strong written and verbal communication
 Demonstrated ability to practice a high level of confidentiality
 Demonstrated high level competency using Microsoft Office applications
 Ability to build and maintain effective working relationships and influence others through stakeholder collaboration and partnerships
 Proven capacity to work effectively within a team as well as the initiative to work unsupervised
 Strong organisational and time management skills with ability to work under pressure and manage conflicting priorities and multi-task
 Strong interpersonal skills with demonstrated experience working in cross-cultural environments 
 Previous experience in a leadership role in a social services organisation and/or ‘not for profit’ (NFP) organisation  (desirable)
 Knowledge of NFP social services programs in South Australia (desirable)
 Experience with file management including collating, maintaining, and reporting on accurate data and information (desirable)
 Report and tender writing skills (desirable)",2026-05-25 01:00:53+00:00,2026-06-12 04:48:01+00:00,cccsa,SYD
4,Learning and Development Manager,"Maintains the work structure by updating job requirements and job descriptions for all positions. Maintains organisation staff by establishing a recruiting, testing, and interviewing program; counselling managers on candidate selection; conducting and analysing exit interviews; recommending changes. ​Prepares employees for assignments by establishing and conducting orientation and training programs.",HR3,"Training and development expertise
	Project management skills
	Communication skills
	Leadership and interpersonal skills
	Analytical and problem-solving skills
	Technical skills (LMS, digital learning technologies, e-learning tools)
	Bachelors degree in Training and Development, Human Resources, Education, or related field
	Certification (CPLP, Human Resource certifications)
	At least five years of experience in Learning and Development, with a proven track record of designing and delivering effective training programs.",2025-01-21 04:35:43+00:00,2025-01-21 04:35:43+00:00,csmgold9,SYD
7,Farm and Gardens Crew,"AWARD: Horticulture Award 2020CLASSIFICATION: Level 2POSITION PURPOSEThe purpose of the Farm & Garden Crew is to work with, supervise and assist a team of volunteers while planning, maintain and harvesting seasonal vegetable crops.The FareShare kitchen garden program spans three sites producing high-yield vegetable crops to ensure reliable access to fresh, healthy produce for our meals.KEY RESPONSIBILITIES    Market gardening (70%)•    Perform physical tasks required for garden maintenance, including:o    Planting, weeding, harvesting and post-harvest cleaning crops.o    Lifting and stacking heavy vegetable crates.•    Ensure work is performed in an organised fashion.•    Ensure equipment and location is left clean and tidy at the end of the shift.•    Operate and maintain irrigation pump equipment and perform irrigation-related maintenance.•    Use garden equipment/power tools safely to maximise productivityVolunteer supervision (30%)•    Coordinate and run garden volunteer shifts as directed by line manager.•    Guide and supervise volunteers in planting, maintaining, harvesting and cleaning activities.Risk and Safety •    Bring to the attention of the line manager any activity that has the potential to damage the reputation of SecondBite | FareShare or its partners, and/or lead to legal issues•    Demonstrate commitment to safety by performing duties in accordance with relevant legislation and SecondBite | FareShare policies, procedures and practices•    Immediately report and act on any accidents and hazardsOther Duties •    Maintain and contribute to a healthy work culture•    Provide accurate and timely information for the line manager and other reporting requirements•    Undertake regular one on one meetings with the line manager to ensure information/ knowledge is shared•    Undertake other duties within the employee’s skills and experience as directed by line manager",Farm and Gardens Crew|Horticulture Lvl 2,"POSITION COMPETENCIESQualifications, Skills and Experience •    Formal qualifications in horticulture.•    Experience working in a market garden setting.•    Experience growing vegetables.•    Experience working with volunteers and/or in not-for-profit organisations or leading a team•    Current first aid certificate (or willingness to obtain one).Personal Attributes•    Demonstrated ability to work with a diverse team of people from different backgrounds and abilities.•    Proven ability to take direction and work independently.•    Physical fitness to perform the duties of the role, including standing, crouching, lifting, and working outdoors for extended periods.OTHER•    Regular Saturday shifts will be worked to fulfill the requirements of the causal role •    Ability to travel and work from multiple sites •    Out of hours work may be required occasionally to meet the requirements of the role ",2025-05-19 00:30:05+00:00,2025-12-30 05:25:56+00:00,secondbite,SYD
5,Centre Administrator,The Administrator of Sunkids Children’s Centre will be involved in all aspects of the daily office duties of the centre.  The Administrator will act in the best interests of Sunkids and Approved Provider to ensure high quality customer service is provided and the centre is following legislative requirements and other standards as specified in the Policy Manual. The philosophy is used as the basis for all decision made.  Building and fostering supportive relationships will be the primary focus of the position.  The Administrator will be responsible for working in collaboration with the Centre Manager. The Administrator should have an understanding about all aspects of the centre’s operations to confidently secure new enrolments and converse with all families.,CTA,,2025-07-28 23:42:35+00:00,2025-07-28 23:42:35+00:00,sunkids,SYD
